Item,Location,Quantity,Primary Category
[CARTON] Alienergy Electrolyte Water Lychee & Sea Salt 500ml x 15's,Shelf 1 rack A,2,KKMART.MY - BEVERAGES
[CARTON] Alienergy Electrolyte Water Lime 500ml x 15's,Shelf 1 rack B,2,KKMART.MY - BEVERAGES
[CARTON] F&N 100Plus Original 1.5L,Shelf 1 rack C,2,KKMART.MY - BEVERAGES
[CARTON] Sprite 1.25L,Shelf 1 rack D,0,KKMART.MY - BEVERAGES
Kotex Natural Care Overnight Wing Anti-Bacteria 32cm x 12's,Shelf 1 rack A,8,KKMART.MY - PERSONAL CARE & BABY
Kotex Panty Liners Longer & Wider Scented Daun Sirih  30's x 2,Shelf 1 rack B,5,KKMART.MY - PERSONAL CARE & BABY
Kotex Herbal Cool Liners Longer & Wider Unscented (24'S x 3Packs),Shelf 1 rack C,0,KKMART.MY - PERSONAL CARE & BABY
Kotex Herbal Cool Liners Regular Unscented (26'S x 3 Packs),Shelf 1 rack D,2,KKMART.MY - PERSONAL CARE & BABY
Kotex Liners Longer & Wider Scented Daun Sirih (30'S x 3 Packs),Shelf 1 rack A,0,KKMART.MY - PERSONAL CARE & BABY
Kotex Liners Regular Scented Daun Sirih (32'S x 3 Packs),Shelf 1 rack A,0,KKMART.MY - PERSONAL CARE & BABY
Kotex Liners Longer & Wider Unscented (30'S x 3 Packs),Shelf 1 rack B,0,KKMART.MY - PERSONAL CARE & BABY
Kotex Liners Regular Unscented (32'S x 3 Packs),Shelf 1 rack C,0,KKMART.MY - PERSONAL CARE & BABY
Kotex Overnight Panties L-XL Size 2'S,Shelf 1 rack D,0,KKMART.MY - PERSONAL CARE & BABY
Kotex Overnight Panties M-L Size 2'S,Shelf 1 rack A,0,KKMART.MY - PERSONAL CARE & BABY
Kotex Overnight Panties S-M Size 2'S,Shelf 1 rack B,0,KKMART.MY - PERSONAL CARE & BABY
Kotex Natural Care Overnight Wing Anti-Bacteria 32CM (12'S x 3 Packs),Shelf 1 rack C,0,KKMART.MY - PERSONAL CARE & BABY
Kotex Natural Care Maxi Wing Anti-Bacteria 24CM (16'S x 3 Packs),Shelf 1 rack D,2,KKMART.MY - PERSONAL CARE & BABY
Kotex Natural Care Maxi Non Wing Anti-Bacteria 24CM (20'S x 3 Packs),Shelf 1 rack A,15,KKMART.MY - PERSONAL CARE & BABY
Kotex Herbal Cool Overnight Wing 32CM (10'S x 3 Packs),Shelf 1 rack A,0,KKMART.MY - PERSONAL CARE & BABY
Kotex Herbal Cool Maxi Wing 24 CM (14'S x 3 Packs),Shelf 1 rack B,0,KKMART.MY - PERSONAL CARE & BABY
Kotex Herbal Cool Maxi Non Wing 24CM (16'S x 3 Packs),Shelf 1 rack C,15,KKMART.MY - PERSONAL CARE & BABY
Kotex Proactive Guard Overnight Wing 41CM 12'S,Shelf 1 rack D,4,KKMART.MY - PERSONAL CARE & BABY
Kotex Proactive Guard Overnight Wing 35CM 14'S,Shelf 1 rack A,4,KKMART.MY - PERSONAL CARE & BABY
